,user_num-mean,like_mean-mean,emo1-mean,emo1_r-mean,emo2-mean,emo2_r-mean,emo3-mean,emo3_r-mean,emo4-mean,emo4_r-mean,emo5-mean,emo5_r-mean,emo6-mean,emo6_r-mean,emo7-mean,emo7_r-mean,all_num-mean,y-mean,user_num-1,like_mean-1,emo1-1,emo1_r-1,emo2-1,emo2_r-1,emo3-1,emo3_r-1,emo4-1,emo4_r-1,emo5-1,emo5_r-1,emo6-1,emo6_r-1,emo7-1,emo7_r-1,all_num-1,user_num-2,like_mean-2,emo1-2,emo1_r-2,emo2-2,emo2_r-2,emo3-2,emo3_r-2,emo4-2,emo4_r-2,emo5-2,emo5_r-2,emo6-2,emo6_r-2,emo7-2,emo7_r-2,all_num-2,user_num-3,like_mean-3,emo1-3,emo1_r-3,emo2-3,emo2_r-3,emo3-3,emo3_r-3,emo4-3,emo4_r-3,emo5-3,emo5_r-3,emo6-3,emo6_r-3,emo7-3,emo7_r-3,all_num-3,y1,y2,y3,y
0,8160.666667,59.78127937,1897,0.192830402,2248,0.24002819,2418,0.245543483,1831.666667,0.176606533,825.3333333,0.088869345,219,0.024009696,352.3333333,0.032112352,9791.333333,24221,5684,58.73106176,1029,0.156525707,1767,0.268786127,1807,0.274870703,908,0.138119866,746,0.113477335,205,0.03118345,112,0.017036812,6574,7494,60.40486057,2152,0.241012431,2318,0.259603539,1731,0.193862695,1529,0.17123978,712,0.079740172,207,0.023182887,280,0.031358495,8929,11304,60.2079158,2510,0.180953068,2659,0.191694903,3716,0.267897051,3058,0.220459952,1018,0.073390527,245,0.01766275,665,0.047941749,13871,60978,6428,5257,5158
1,6929,65.45907012,1975.666667,0.233453751,2076.333333,0.254941828,1871,0.232520013,1149,0.140246775,692,0.087123083,187,0.023599248,239.3333333,0.028115301,8190.333333,5614.333333,7609,77.24128805,2746,0.302823114,2144,0.236435818,2075,0.228826643,1010,0.111380679,618,0.068151742,149,0.016431407,326,0.035950596,9068,5684,58.73106176,1029,0.156525707,1767,0.268786127,1807,0.274870703,908,0.138119866,746,0.113477335,205,0.03118345,112,0.017036812,6574,7494,60.40486057,2152,0.241012431,2318,0.259603539,1731,0.193862695,1529,0.17123978,712,0.079740172,207,0.023182887,280,0.031358495,8929,6428,5257,5158,6502
2,6946.333333,70.15813688,1681,0.200199561,1739.333333,0.216938747,2762.666667,0.331502398,992.3333333,0.122489562,642.6666667,0.081485434,172,0.021886992,216.3333333,0.025497306,8206.333333,5639,7546,74.50206082,1268,0.141249861,1307,0.145594297,4406,0.490809847,1059,0.117968141,564,0.062827225,162,0.018046118,211,0.023504512,8977,7609,77.24128805,2746,0.302823114,2144,0.236435818,2075,0.228826643,1010,0.111380679,618,0.068151742,149,0.016431407,326,0.035950596,9068,5684,58.73106176,1029,0.156525707,1767,0.268786127,1807,0.274870703,908,0.138119866,746,0.113477335,205,0.03118345,112,0.017036812,6574,5257,5158,6502,7924
3,8102.666667,80.92898872,1980,0.205055506,2266.333333,0.226481686,3312.666667,0.342244765,1160.666667,0.118290239,652.6666667,0.066637951,136.6666667,0.014424018,258.3333333,0.026865836,9767.333333,6528,9153,91.0436173,1926,0.171093542,3348,0.297414942,3457,0.307097806,1413,0.125521897,776,0.068934885,99,0.008794528,238,0.0211424,11257,7546,74.50206082,1268,0.141249861,1307,0.145594297,4406,0.490809847,1059,0.117968141,564,0.062827225,162,0.018046118,211,0.023504512,8977,7609,77.24128805,2746,0.302823114,2144,0.236435818,2075,0.228826643,1010,0.111380679,618,0.068151742,149,0.016431407,326,0.035950596,9068,5158,6502,7924,6026
4,7950.333333,73.34663248,1607.333333,0.170156413,2231.666667,0.23042501,3210,0.33764988,1237.333333,0.131465565,653,0.069031247,108.3333333,0.011543125,436,0.04972876,9483.666667,6817.333333,7152,54.4942193,1628,0.198125837,2040,0.24826579,1767,0.215041986,1240,0.150906657,619,0.07533163,64,0.007788731,859,0.10453937,8217,9153,91.0436173,1926,0.171093542,3348,0.297414942,3457,0.307097806,1413,0.125521897,776,0.068934885,99,0.008794528,238,0.0211424,11257,7546,74.50206082,1268,0.141249861,1307,0.145594297,4406,0.490809847,1059,0.117968141,564,0.062827225,162,0.018046118,211,0.023504512,8977,6502,7924,6026,3265
5,7223.333333,70.59668946,1614,0.192758783,2305,0.264510036,2307.333333,0.265914801,1089,0.125362567,693.6666667,0.085204025,73.66666667,0.008665772,462.3333333,0.057584017,8545,5738.333333,5365,66.25223178,1288,0.209056971,1527,0.247849375,1698,0.27560461,614,0.099659146,686,0.111345561,58,0.009414056,290,0.047070281,6161,7152,54.4942193,1628,0.198125837,2040,0.24826579,1767,0.215041986,1240,0.150906657,619,0.07533163,64,0.007788731,859,0.10453937,8217,9153,91.0436173,1926,0.171093542,3348,0.297414942,3457,0.307097806,1413,0.125521897,776,0.068934885,99,0.008794528,238,0.0211424,11257,7924,6026,3265,4069
6,6141.333333,78.11654566,1532.666667,0.215469697,1861,0.260948453,1770,0.251018642,842,0.115380845,599.3333333,0.085598413,63,0.008910672,468.3333333,0.062673278,7136.333333,4453.333333,5907,113.6031859,1682,0.239226284,2016,0.286730195,1845,0.26240933,672,0.095576732,493,0.070118049,67,0.009529228,256,0.036410183,7031,5365,66.25223178,1288,0.209056971,1527,0.247849375,1698,0.27560461,614,0.099659146,686,0.111345561,58,0.009414056,290,0.047070281,6161,7152,54.4942193,1628,0.198125837,2040,0.24826579,1767,0.215041986,1240,0.150906657,619,0.07533163,64,0.007788731,859,0.10453937,8217,6026,3265,4069,5417
7,6258,93.39371416,1638,0.219527276,2117.333333,0.279484117,2059.666667,0.274390627,729.3333333,0.097604228,575,0.080176316,77.33333333,0.010172787,282,0.038644649,7478.666667,4250.333333,7502,100.3257248,1944,0.210298572,2809,0.303872782,2636,0.28515794,902,0.097576807,546,0.05906534,107,0.011575076,300,0.032453483,9244,5907,113.6031859,1682,0.239226284,2016,0.286730195,1845,0.26240933,672,0.095576732,493,0.070118049,67,0.009529228,256,0.036410183,7031,5365,66.25223178,1288,0.209056971,1527,0.247849375,1698,0.27560461,614,0.099659146,686,0.111345561,58,0.009414056,290,0.047070281,6161,3265,4069,5417,6606
8,6533.666667,99.16778001,1639,0.210103953,2302.666667,0.294099606,2252.333333,0.288763379,665,0.084036289,549,0.071441842,85.33333333,0.01086243,312,0.040692501,7805.333333,5364,6192,83.57442935,1291,0.180787005,2083,0.291695841,2276,0.318722868,421,0.058955328,608,0.085142137,82,0.011482986,380,0.053213836,7141,7502,100.3257248,1944,0.210298572,2809,0.303872782,2636,0.28515794,902,0.097576807,546,0.05906534,107,0.011575076,300,0.032453483,9244,5907,113.6031859,1682,0.239226284,2016,0.286730195,1845,0.26240933,672,0.095576732,493,0.070118049,67,0.009529228,256,0.036410183,7031,4069,5417,6606,19681
